Sentence #, Word, Tag, Intent
0, is, B-VAR, variable_declaration
0, approved, I-VAR, variable_declaration
0, equals, O, variable_declaration
0, clustering, B-VAL, variable_declaration
0, algorithms, I-VAL, variable_declaration
1, file, B-VAR, variable_declaration
1, path, I-VAR, variable_declaration
1, equals, O, variable_declaration
1, 2023, B-VAL, variable_declaration
2, user, B-VAR, variable_declaration
2, id, I-VAR, variable_declaration
2, equals, O, variable_declaration
2, REGRESSION, B-VAL, variable_declaration
2, MODELS, I-VAL, variable_declaration
3, temp, B-VAR, variable_declaration
3, equals, O, variable_declaration
3, car, B-VAL, variable_declaration
3, bus, B-VAL, variable_declaration
3, train, B-VAL, variable_declaration
3, plane, B-VAL, variable_declaration
3, bicycle, B-VAL, variable_declaration
4, time, B-VAR, variable_declaration
4, elapsed, I-VAR, variable_declaration
4, equals, O, variable_declaration
4, -555555, B-VAL, variable_declaration
5, supplier, B-VAR, variable_declaration
5, name, I-VAR, variable_declaration
5, equals, O, variable_declaration
5, 7.1234, B-VAL, variable_declaration
6, order, B-VAR, variable_declaration
6, number, I-VAR, variable_declaration
6, equals, O, variable_declaration
6, back, B-VAL, variable_declaration
6, end, I-VAL, variable_declaration
6, development, I-VAL, variable_declaration
7, tax, B-VAR, variable_declaration
7, rate, I-VAR, variable_declaration
7, equals, O, variable_declaration
7, 70707, B-VAL, variable_declaration
8, product, B-VAR, variable_declaration
8, description, I-VAR, variable_declaration
8, equals, O, variable_declaration
8, -1.602176634, B-VAL, variable_declaration
9, inventory, B-VAR, variable_declaration
9, level, I-VAR, variable_declaration
9, is, O, variable_declaration
9, 1.0, B-VAL, variable_declaration
10, net, B-VAR, variable_declaration
10, profit, I-VAR, variable_declaration
10, is, O, variable_declaration
10, CLUSTERING, B-VAL, variable_declaration
10, ALGORITHMS, I-VAL, variable_declaration
11, is, B-VAR, variable_declaration
11, deleted, I-VAR, variable_declaration
11, is, O, variable_declaration
11, 1.1, B-VAL, variable_declaration
12, string, B-VAR, variable_declaration
12, buffer, I-VAR, variable_declaration
12, is, O, variable_declaration
12, object, B-VAL, variable_declaration
12, oriented, I-VAL, variable_declaration
12, programming, I-VAL, variable_declaration
13, is, B-VAR, variable_declaration
13, verified, I-VAR, variable_declaration
13, is, O, variable_declaration
